date,continent,arrivals,year,month_sin,month_cos,quarter_sin,quarter_cos,lag_1,lag_2,lag_3,lag_6,lag_12,seasonal_strength,trend_strength,seasonal_peak_year,seasonal_trough_year,spikiness,linearity,curvature,stl_e_acf1,stl_e_acf10
2002-08-01,Asia,1926.0,2002,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,2014.0,1578.0,1401.0,1995.0,2262.0,0.6776038073417726,0.5277311539350905,6.0,2.0,95901616.9105252,1.0,4.263256414560601e-14,0.007042009526271883,0.26884616443506654
2002-09-01,Asia,1645.0,2002,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,1926.0,2014.0,1578.0,1783.0,1747.0,0.8679109791232218,0.8037978266593913,5.0,1.0,29018689.255584557,1.0,4.263256414560601e-14,-0.010723025296742275,0.16420579960983808
2002-10-01,Asia,1601.0,2002,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,1645.0,1926.0,2014.0,1342.0,1822.0,0.8959217911108966,0.8658603877572272,5.0,2.0,11036601.64061832,1.0,7.815970093361102e-14,-0.013496637146165029,0.2183315500624177
2002-11-01,Asia,1652.0,2002,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,1601.0,1645.0,1926.0,1401.0,1876.0,0.8543908511057903,0.8352284161323973,3.0,1.0,29943018.44093251,0.9999999999999996,4.973799150320701e-14,-0.04545454545454475,0.010400257298886573
2002-12-01,Asia,2071.0,2002,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,1652.0,1601.0,1645.0,1578.0,2093.0,0.6086601290961331,0.6590333897306433,2.0,17.0,68797027.27371949,0.9999999999999996,2.842170943040401e-14,0.4306146301539904,0.29636201742541013
2003-01-01,Asia,1880.0,2003,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,2071.0,1652.0,1601.0,2014.0,2357.0,0.5007264177475842,0.5680010639623557,2.0,16.0,107685576.29570253,1.0,4.263256414560601e-14,0.3667687262931388,0.25156484297568904
2003-02-01,Asia,2089.0,2003,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1880.0,2071.0,1652.0,1926.0,1995.0,0.7766600741124627,0.7865232021743809,1.0,15.0,42313313.000892185,1.0,5.684341886080802e-14,-0.04545454545454387,0.0033114104179792917
2003-03-01,Asia,1355.0,2003,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,2089.0,1880.0,2071.0,1645.0,1783.0,1.0,1.0,1.0,14.0,1.3780511646940318e-52,1.0,3.552713678800501e-14,0.03349320635285419,0.14264147880732003
2003-04-01,Asia,933.0,2003,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,1355.0,2089.0,1880.0,1601.0,1342.0,1.0,1.0,23.0,13.0,2.604560934395398e-53,0.9999999999999998,4.263256414560601e-14,0.29695448304214156,0.45278536536015723
2003-05-01,Asia,1200.0,2003,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,933.0,1355.0,2089.0,1652.0,1401.0,0.8891965946923702,0.7169546053874318,9.0,24.0,1285585.5298966605,1.0,4.618527782440651e-14,0.39217788512638957,0.2670722221702338
2003-06-01,Asia,1236.0,2003,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,1200.0,933.0,1355.0,2071.0,1578.0,0.8826711887807367,0.7019735223037016,21.0,11.0,2052993.367143554,0.9999999999688927,2.2801501724956097e-05,-0.04415679157366028,0.12284631376929034
2003-07-01,Asia,1121.0,2003,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,1236.0,1200.0,933.0,1880.0,2014.0,1.0,1.0,20.0,22.0,5.734739255540669e-53,1.0,4.618527782440651e-14,0.5017249379765542,0.7716212380974273
