date,arrivals,continent,year,month_sin,month_cos,quarter_sin,quarter_cos,lag_1,lag_2,lag_3,lag_6,lag_12,seasonal_strength,trend_strength,seasonal_peak_year,seasonal_trough_year,spikiness,linearity,curvature,stl_e_acf1,stl_e_acf10,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
2019-08-01,3005.0,Asia,2019,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,2765.0,2583.0,3466.0,5411.0,3785.0,1.0,1.0,20.0,10.0,3.7107676178825635e-51,1.0,8.881784197001252e-14,0.4987935200368324,0.5437248001403077,-0.24214761703297244,-0.06808645785565448,0.8440967626231944,4.0,0.3483354676809711,-0.7970056370169558,0.9565217391304348,4.0,0.030303030303030304,6.0,0.1311464534509323,1.0,0.5,0.08333333333333326,0.0,0.13863855736683203,4.0,2.1403895206310386,0.0,0.0,0.981747704246875,1.2213980495498897
2019-09-01,3014.0,Asia,2019,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,3005.0,2765.0,2583.0,5970.0,3453.0,0.9920511314354111,0.08871135674275155,19.0,9.0,1429572.7081308172,1.0,8.171241461241152e-14,-0.026613372091568263,0.2646383361783243,-0.5761163876371335,-0.05699397789988636,0.8638915913410814,5.0,0.32637432515263354,-0.7825653920644378,0.9565217391304348,4.0,0.02203856749311295,0.0,0.1298972670185694,1.0,0.5,0.0,0.25,0.1719325280591108,4.0,2.1256156913444824,0.0,0.0,0.981747704246875,1.1981258805637054
2019-10-01,2925.0,Asia,2019,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,3014.0,3005.0,2765.0,2717.0,3783.0,0.9022047418675799,0.0,18.0,8.0,443208996.05423385,1.0,8.171241461241152e-14,0.15867402145658244,0.02827412199515805,-0.9025624107563512,-0.04306221247960951,0.8830849021836114,4.0,0.30523225032869766,-0.7706237366898026,0.9130434782608695,4.0,0.05442176870748299,6.0,0.11762552219349169,2.0,0.3333333333333333,-0.08333333333333337,0.33333333333333326,0.21522417334782598,4.0,2.1256156913444824,0.0,0.0,0.981747704246875,1.148469825280738
2019-11-01,2948.0,Asia,2019,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,2925.0,3014.0,3005.0,3466.0,4068.0,0.9005248284455192,0.0,17.0,7.0,415178859.7546015,1.0,9.725553695716371e-14,0.1445221198285729,0.02080991509452348,-0.8592400941801412,-0.008023824274520641,0.8936327087375405,5.0,0.2570680842797337,-0.7535766853298627,0.9130434782608695,4.0,0.04000000000000001,6.0,0.11540474649480069,2.0,0.25,-0.16666666666666663,0.375,0.24056894173284313,4.0,2.1551633499175953,0.0,0.0,0.981747704246875,1.1226245072617185
2019-12-01,3044.0,Asia,2019,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,2948.0,2925.0,3014.0,2583.0,3676.0,0.739064167899947,0.08173534538922334,4.0,6.0,1957732175.8628843,1.0,1.0302869668521453e-13,-0.013132002044019646,0.18963491891748205,-0.8067518857769924,-0.2950783097382577,0.8597525543190692,4.0,0.24936859309932055,-0.7830180293310119,0.8695652173913043,4.0,0.03401360544217687,6.0,0.09741548302744336,2.0,0.3333333333333333,-0.25,0.41666666666666674,0.23661675895480744,4.0,2.042592104175594,0.0,0.0,0.981747704246875,1.0711552205816466
2020-01-01,2655.0,Asia,2020,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,3044.0,2948.0,2925.0,2765.0,2997.0,0.9779604217496352,0.32437506989175624,15.0,5.0,6039450.48178785,1.0,8.526512829121202e-14,0.06647774077307574,0.1869398678035472,-0.7608405471234387,-0.5810290288587181,0.9193146425735323,2.0,0.1376865482992708,-0.6766745430294688,0.8695652173913043,4.0,0.030303030303030304,6.0,0.11545370378810586,2.0,0.5,0.16666666666666674,0.33333333333333326,0.21792809567265828,4.0,1.9902945263083704,0.0,0.0,0.981747704246875,1.124092392318216
2020-02-01,6006.0,Asia,2020,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,2655.0,3044.0,2948.0,3005.0,5411.0,0.9971982788794796,0.7491464105199312,14.0,4.0,313835.04762184265,0.9999999999999998,1.1013412404281553e-13,0.3044482127097437,0.0012635213190503715,-0.7186690479548882,-0.5413446853339443,0.9309908659990548,2.0,0.11236126173334351,-1.197658737765884,0.8695652173913043,7.0,0.013774104683195594,6.0,0.10690746857611437,2.0,0.5,0.08333333333333326,0.25,0.23900465625258405,3.0,2.0425921041755934,0.0,0.0,0.981747704246875,1.0263261702410875
2020-03-01,3569.447855668333,Asia,2020,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,6006.0,2655.0,3044.0,3014.0,5970.0,1.0,1.0,24.0,3.0,9.875321774481428e-52,0.9999999999999996,1.2079226507921703e-13,0.4134558657743512,0.4138354210945159,-0.7086906770187501,-0.533299945560838,0.7581431551909117,2.0,0.22380471795163326,0.5168552177410488,0.8695652173913043,4.0,0.0303030303030303,6.0,0.14025364300222412,2.0,0.5,0.08333333333333326,0.20833333333333337,0.24250438179917538,3.0,2.1403895206310386,0.0,0.0,1.1780972450962501,1.139286294208893
2020-04-01,2710.840629796257,Asia,2020,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,3569.447855668333,6006.0,2655.0,2925.0,2717.0,0.9757397698400738,0.6392351258239944,23.0,2.0,26003805.728854183,1.0,3.552713678800501e-14,0.02400368419640708,0.12534913174194065,-0.6932333170998866,-0.16269291397997915,0.7983213380081096,2.0,0.18490219806942554,0.14683020440342964,0.8695652173913043,7.0,0.013774104683195593,6.0,0.14365606727752048,1.0,0.5,0.0,0.08333333333333326,0.27774594984683026,3.0,2.1028657720503716,0.0,0.0,1.1780972450962501,1.1424519412803316
2020-05-01,2801.8522548151227,Asia,2020,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,2710.840629796257,3569.447855668333,6006.0,2948.0,3466.0,0.970446253205887,0.6269601347434226,22.0,1.0,19632524.113908347,0.9999999999999998,7.105427357601002e-14,-0.024893918657666648,0.12811548753095714,-0.7129349487391319,-0.17662015470411313,0.7538641279059706,2.0,0.1870826264735399,0.1258164405017461,0.8695652173913043,7.0,0.03856749311294766,6.0,0.15149791449490294,3.0,0.5,-0.08333333333333337,0.16666666666666674,0.20959025238657206,3.0,2.1256156913444824,0.0,0.0,1.1780972450962501,1.1801368721599304
2020-06-01,3268.206712179723,Asia,2020,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2801.8522548151227,2710.840629796257,3569.447855668333,3044.0,2583.0,1.0,1.0,21.0,1.0,9.76239697758252e-52,1.0,7.815970093361102e-14,0.1266508383925468,0.2916008665284983,-0.7236698794282628,-0.5429966431784445,0.7310506780215442,2.0,0.14785325295738805,0.13228325942276684,0.9130434782608695,4.0,0.013774104683195593,6.0,0.12693957863170985,2.0,0.5,-0.16666666666666663,0.33333333333333326,0.1622680531816193,3.0,2.1256156913444824,0.0,0.0,1.1780972450962501,1.2121809727688897
