ds,simulation,set,value
2021-10-01,sim_0,train,94810.86205891316
2021-11-01,sim_0,train,100177.07515698613
2021-12-01,sim_0,train,137620.51075661473
2022-01-01,sim_0,train,135854.9425020151
2022-02-01,sim_0,train,144472.55188307367
2022-03-01,sim_0,train,134122.0869724982
2022-04-01,sim_0,train,94350.45730859503
2022-05-01,sim_0,train,76887.4073583106
2022-06-01,sim_0,train,78948.4582885598
2022-07-01,sim_0,train,97951.202647016
2022-08-01,sim_0,train,94110.24617966989
2022-09-01,sim_0,train,98057.29852238245
2022-10-01,sim_0,train,93658.42320745387
2022-11-01,sim_0,train,102401.57136918449
2022-12-01,sim_0,train,133233.25881098342
2023-01-01,sim_0,train,140341.19029630892
2023-02-01,sim_0,train,90421.13465401955
2023-03-01,sim_0,train,116288.66608367908
2023-04-01,sim_0,train,86091.66964149308
2023-05-01,sim_0,train,184439.42277764945
2023-06-01,sim_0,train,94049.50133798092
2023-07-01,sim_0,train,73347.99641504888
2023-08-01,sim_0,train,85186.81439521349
2023-09-01,sim_0,train,62231.760026922595
2023-10-01,sim_0,train,78800.44349497119
2023-11-01,sim_0,train,158075.26780410757
2023-12-01,sim_0,train,102047.6976361785
2024-01-01,sim_0,forecast,120543.74862878412
2024-02-01,sim_0,forecast,104447.88534053124
2024-03-01,sim_0,forecast,122885.59176436064
2024-04-01,sim_0,forecast,87845.72273236336
2024-05-01,sim_0,forecast,130554.07813238568
2024-06-01,sim_0,forecast,87826.49099973816
2024-07-01,sim_0,forecast,91988.21534177553
2024-08-01,sim_0,forecast,89104.01538653254
2024-09-01,sim_0,forecast,85370.8200549885
2024-10-01,sim_0,forecast,87152.42589245319
2024-11-01,sim_0,forecast,126474.27041450728
2024-12-01,sim_0,forecast,110025.59748961427
2000-01-01,sim_1,train,64162.28057923372
2000-02-01,sim_1,train,64084.92001052789
2000-03-01,sim_1,train,96889.25284625383
2000-04-01,sim_1,train,92246.2371017636
2000-05-01,sim_1,train,52318.222859286274
2000-06-01,sim_1,train,56866.777607980854
2000-07-01,sim_1,train,67686.43103084477
2000-08-01,sim_1,train,66517.54749559652
2000-09-01,sim_1,train,48142.34685855799
2000-10-01,sim_1,train,58506.263777446555
2000-11-01,sim_1,train,56884.29063470918
2000-12-01,sim_1,train,87449.69620428533
2001-01-01,sim_1,train,109510.6606304894
2001-02-01,sim_1,train,100436.60784420712
2001-03-01,sim_1,train,88281.8050831216
2001-04-01,sim_1,train,74084.03566772306
2001-05-01,sim_1,train,55087.17610370108
2001-06-01,sim_1,train,59936.75462214845
2001-07-01,sim_1,train,76784.54671835995
2001-08-01,sim_1,train,74455.11515360417
2001-09-01,sim_1,train,62161.59477422075
2001-10-01,sim_1,train,61427.67882392443
2001-11-01,sim_1,train,60695.497269160085
2001-12-01,sim_1,train,47206.31467554678
2002-01-01,sim_1,train,107441.25292599699
2002-02-01,sim_1,train,108667.2394026467
2002-03-01,sim_1,train,73320.29038963841
2002-04-01,sim_1,train,63453.697401837504
2002-05-01,sim_1,train,44441.98599583666
2002-06-01,sim_1,train,45248.96468659026
2002-07-01,sim_1,train,50779.72290376227
2002-08-01,sim_1,train,54066.25041034013
2002-09-01,sim_1,train,39431.08210819619
2002-10-01,sim_1,train,71622.58750416327
2002-11-01,sim_1,train,122093.35579849104
2002-12-01,sim_1,train,85421.16200622823
2003-01-01,sim_1,train,100018.21050611763
2003-02-01,sim_1,train,58399.149369148145
2003-03-01,sim_1,train,67878.5322340956
2003-04-01,sim_1,train,38355.35113251675
2003-05-01,sim_1,train,32398.12921955903
2003-06-01,sim_1,train,97056.64472262835
2003-07-01,sim_1,train,35622.24236442819
2003-08-01,sim_1,train,52874.926472167295
2003-09-01,sim_1,train,65007.69512171515
2003-10-01,sim_1,train,57562.501270588684
2003-11-01,sim_1,train,62530.19171642071
2003-12-01,sim_1,train,33389.99720647733
2004-01-01,sim_1,train,91643.08844089916
2004-02-01,sim_1,train,88062.96847577929
2004-03-01,sim_1,train,70630.08271190211
2004-04-01,sim_1,train,56674.09930231671
